prioridad,fecha_chat,dias_transcurridos,tipo_cliente,productos_solicitados,intenciones,resumen_visitante,num_mensajes
🔴 MÁXIMA,2026-02-04 15:59:37,11,Mayorista/Distribuidor,"Electricidad, Madera, Plomería","busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Tablero 2x100 completo con tubo mufa cableado y el poste metálico para poner el tablero | Por este medio,8
🔴 MÁXIMA,2026-01-19 15:32:59,27,Mayorista/Distribuidor,"Cemento/Concreto, Pisos/Loseta","busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Me puede cotizar 7 sacos de piso sobre piso el más económico | Y en cuantos kg maneja los sacos de cemento? Y sus precios? | Me están pidiendo 5 de 50 kg,10
🟠 ALTA,2026-02-08 00:09:02,8,Comprador de Volumen,Pisos/Loseta,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Loseta de porcelanato,6
🟠 ALTA,2026-02-07 23:24:31,8,Comprador de Volumen,Ferretería,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Jaladera para mueble,5
🟠 ALTA,2026-02-07 22:12:11,8,Prospecto General,"Cemento/Concreto, Plomería","busca_producto, precio, problema_sitio",Tengo problemas con el sitio | Quiero saber el precio de una llave mezcladora marca rugo,8
🟠 ALTA,2026-02-04 22:00:54,11,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo,4
🟠 ALTA,2026-02-04 21:38:31,11,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Sujetadores para caveseras de cama,6
🟠 ALTA,2026-02-04 18:04:46,11,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Buenos dias cuanto sale la caja de redimix,7
🟠 ALTA,2026-02-03 00:08:50,13,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo,3
🟠 ALTA,2026-02-02 16:00:27,13,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo,4
🟠 ALTA,2026-02-01 21:40:01,14,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo,3
🟠 ALTA,2026-02-01 18:36:04,14,Contratista/Constructor,No especificado,"busca_producto, contratista, problema_sitio","Quiero ayuda/consejo para mi obra | Tengo problemas con el sitio | QUISIERA UNA HOJA DE DATOS DE SEGURIDAD UN PRODUCTO QUE MANEJAS ZAHORI EMULFIBER, ME LA PUEDES COMPARTIR",13
🟠 ALTA,2026-01-30 00:40:01,17,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Cinchos | pamial05@gmail. Com,9
